"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"Captain Kidd","22/11/1945 (US)","60","Rowland V. Lee","","Aksiyon,Macera,Tarih","1h 29m","İngilizce","-","-"
"Captain Marvel","08/03/2019 (TR)","68","Anna Boden","","Aksiyon,Macera,Bilim-Kurgu","2h 7m","İngilizce","$152,000,000.00","$1,131,416,446.00"
"Captain Marvel","08/03/2019 (TR)","68","Ryan Fleck","","Aksiyon,Macera,Bilim-Kurgu","2h 7m","İngilizce","$152,000,000.00","$1,131,416,446.00"
"Car Wash","22/10/1976 (US)","60","Michael Schultz","Joel Schumacher","Komedi","1h 37m","İngilizce","-","-"
"Cargo","06/10/2017 (AU)","64","Yolanda Ramke","Yolanda Ramke","Dram,Gerilim,Korku","1h 45m","İngilizce","-","$56,385.00"
"Cariye","06/06/2012 (KR)","60","Kim Dae-seung","","Dram","2h 2m","Korece","-","$16,465,764.00"
"Carlito'nun Yolu","11/02/1994 (TR)","78","Brian De Palma","","Suç,Dram,Romantik,Gerilim","2h 24m","İngilizce","$30,000,000.00","$63,800,000.00"
"Carrie","04/11/2002 (US)","61","David Carson","","Korku,Dram,TV film","2h 12m","İngilizce","$5,000,000.00","-"
"Carrie: Gunah Tohumu","08/11/2013 (TR)","60","Kimberly Peirce","","Dram,Korku","1h 40m","İngilizce","$30,000,000.00","$84,790,678.00"
"Casagrande Ailesi (Film)","22/03/2024 (TR)","76","Miguel Puga","","Animasyon,Komedi,Aile","1h 25m","İngilizce","-","-"
"Case Closed: Countdown to Heaven","21/04/2001 (JP)","73","Kenji Kodama","","Animasyon,Aksiyon,Suç,Gizem","1h 40m","Japonca","-","-"
"Cash Out","26/04/2024 (US)","63","Randall Emmett","Dipo Oseni","Aksiyon,Suç,Gerilim","1h 30m","İngilizce","-","-"
"Cash: Para Kokusu","06/07/2023 (FR)","62","Jérémie Rozan","Jérémie Rozan","Komedi","1h 35m","Fransızca","-","-"
"Casino Royale","17/11/2006 (TR)","76","Martin Campbell","","Macera,Aksiyon,Gerilim","2h 24m","İngilizce","$150,000,000.00","$599,045,960.00"
"Castle Falls","03/12/2021 (US)","61","Dolph Lundgren","Andrew Knauer","Aksiyon,Suç,Gerilim","1h 29m","İngilizce","-","-"
"Casus Oyunu","18/11/2001 (US)","69","Tony Scott","","Aksiyon,Suç,Gerilim","2h 6m","İngilizce","$115,000,000.00","$143,049,560.00"
"Casuslar Kampı","29/05/1953 (US)","77","Billy Wilder","Billy Wilder","Komedi,Dram,Savaş","2h","İngilizce","$1,661,530.00","-"
"Casuslar Köprüsü","27/11/2015 (TR)","72","Steven Spielberg","Ethan Coen","Gerilim,Dram","2h 21m","İngilizce","$40,000,000.00","$165,478,348.00"
"Cat Ballou","24/06/1965 (US)","64","Elliot Silverstein","","Vahşi Batı,Komedi","1h 37m","İngilizce","-","$20,666,667.00"
"Cat Pack: A PAW Patrol Exclusive Event","24/06/2022 (US)","74","Charles E. Bastien","Michael Stokes","Animasyon,Aile","1h 8m","İngilizce","-","-"
"Cat Person","06/10/2023 (US)","59","Susanna Fogel","","Gerilim,Komedi","1h 58m","İngilizce","$12,000,000.00","$282,000.00"
"Catwoman: Hunted","08/02/2022 (US)","57","Shinsuke Terasawa","Greg Weisman","Animasyon,Aksiyon,Suç","1h 18m","İngilizce","-","-"
"Caught by the Tides","18/05/2024 (FR)","0","Jia Zhangke","Jia Zhangke","Dram","1h 51m","Çince","-","-"
"Caveman","25/12/1981 (MX)","66","Carl Gottlieb","Carl Gottlieb","Komedi,Macera","1h 31m","İngilizce","-","$15,965,324.00"
"Cazcı Kardeşler 2000","05/02/1998 (US)","53","John Landis","Dan Aykroyd","Müzik,Aksiyon,Komedi,Suç","2h 3m","İngilizce","$28,000,000.00","$14,100,000.00"
"Cazibe Kanunları","07/05/2004 (GB)","58","Peter Howitt","","Komedi,Romantik","1h 30m","İngilizce","$28,000,000.00","$30,000,000.00"
"Cehennem","21/07/2017 (TR)","72","Martin Koolhoven","Martin Koolhoven","Dram,Gizem,Gerilim,Vahşi Batı","2h 28m","İngilizce","$13,000,000.00","-"
"Cehennem Çiçeği","15/09/2006 (US)","56","Brian De Palma","","Suç,Gerilim,Dram","2h 1m","İngilizce","$50,000,000.00","$49,111,202.00"
"Cehennem Festivali","28/09/2018 (US)","57","Gregory Plotkin","","Korku,Gerilim","1h 29m","İngilizce","$5,500,000.00","$18,160,930.00"
"Cehennem Gecesi","23/08/2019 (US)","61","Mike Gan","Mike Gan","Gerilim,Suç,Aksiyon","1h 29m","İngilizce","-","$25,373.00"
"Cehennem Melekleri","13/08/2010 (TR)","62","Sylvester Stallone","","Gerilim,Macera,Aksiyon","1h 43m","İngilizce","$80,000,000.00","$274,500,000.00"
"Cehennem Melekleri 2","08/08/2012 (US)","63","Simon West","","Aksiyon,Macera,Gerilim","1h 43m","İngilizce","$100,000,000.00","$315,000,000.00"
"Cehennem Melekleri 3","15/08/2014 (US)","62","Patrick Hughes","","Aksiyon,Macera,Gerilim","2h 6m","İngilizce","$95,000,000.00","$214,700,000.00"
"Cehennem Öfkesi: Ave Marie","05/11/2021 (US)","65","Jesse V. Johnson","Romain Serir","Aksiyon,Savaş","1h 34m","İngilizce","-","-"
"Cehennem Silahı 3","25/09/1992 (TR)","67","Richard Donner","","Macera,Aksiyon,Komedi,Gerilim,Suç","1h 58m","İngilizce","$35,000,000.00","$321,700,000.00"
"Cehennem Silahı 4","14/08/1998 (TR)","66","Richard Donner","","Aksiyon,Macera,Komedi,Suç,Gerilim","2h 8m","İngilizce","$140,000,000.00","$285,400,000.00"
